34,8670634920635
72,5023198043786
119,097459620157
150,500473113806
192,499130000113
239,787645677446
277,43663143154
319,640846609484
354,19514990059
399,467987326818
432,618715366827
474,102646244956
516,069472178754
555,325914011511
592,239593935363
633,117717174187
675,050066025669
719,88264989683
746,104460141548
796,13810350034
836,843402942909
869,212516279506
914,502679076302
962,509213502781
991,790608446968
1042,20496995213
1071,6199882999
1112,02442530107
1144,98318028733
1185,4837909471
1223,12331865673
1267,16999291627
1313,79077338187
1347,69261559626
1407,35528470546
1421,59060412901
1452,93391669438
1511,05726316415
1555,40206245746
1581,1361425436
1632,99466305548
1665,76137153136
1718,60747769447
1739,43640413264
1784,44446933883
1819,56066667144
1852,27794668328
1901,78590121258
1949,96598299488
